id,template_id,day_number,task_title,task_description,task_type,sort_order,is_active,is_deleted,created_at,updated_at,created_by,updated_by
d6db5703-3d82-4500-b368-0aa17975ce80,e81d77a0-0001-4c12-a167-9bf461d3fa01,1,Day 1 Topic: Physical World & Units of Measurement,Today's MCQ test will be based on the topic 'Physical World & Units of Measurement'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
74f66099-68c5-40c4-a4ed-16f330ee2112,e81d77a0-0001-4c12-a167-9bf461d3fa01,2,Day 2 Topic: Dimensions & Dimensional Analysis,Today's MCQ test will be based on the topic 'Dimensions & Dimensional Analysis'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
aebe8c6a-1e83-48fe-b3b6-702d8535a1dd,e81d77a0-0001-4c12-a167-9bf461d3fa01,3,Day 3 Topic: Motion in a Straight Line,Today's MCQ test will be based on the topic 'Motion in a Straight Line'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
222aacbf-6633-475e-8722-9195b80dded7,e81d77a0-0001-4c12-a167-9bf461d3fa01,4,"Day 4 Topic: Speed, Velocity & Relative Velocity","Today's MCQ test will be based on the topic 'Speed, Velocity & Relative Velocity'. Please study this topic in detail from your NCERT book and classroom notes.",read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
b53d8d91-05a9-4e99-9b54-a4d8927f8fd0,e81d77a0-0001-4c12-a167-9bf461d3fa01,5,Day 5 Topic: Motion in a Plane & Vectors,Today's MCQ test will be based on the topic 'Motion in a Plane & Vectors'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
d7d70744-f065-4125-90e7-94c5a7fcf45a,e81d77a0-0001-4c12-a167-9bf461d3fa01,6,Day 6 Topic: Projectile Motion,Today's MCQ test will be based on the topic 'Projectile Motion'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
d8c855d2-15d0-4f22-bdc2-7cd8ac930e74,e81d77a0-0001-4c12-a167-9bf461d3fa01,7,Day 7 Topic: Newton's First and Second Laws,Today's MCQ test will be based on the topic 'Newton's First and Second Laws'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
92bf2290-38e0-4268-8fbc-73c14e307cb0,e81d77a0-0001-4c12-a167-9bf461d3fa01,8,Day 8 Topic: Newton's Third Law & Friction,Today's MCQ test will be based on the topic 'Newton's Third Law & Friction'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
d2c13bcf-098d-495a-abfa-f28a0e2f7947,e81d77a0-0001-4c12-a167-9bf461d3fa01,9,"Day 9 Topic: Work, Energy & Power","Today's MCQ test will be based on the topic 'Work, Energy & Power'. Please study this topic in detail from your NCERT book and classroom notes.",read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
8d697938-f13c-4132-88fc-5239420ed5a1,e81d77a0-0001-4c12-a167-9bf461d3fa01,10,Day 10 Topic: Potential Energy & Conservation of Energy,Today's MCQ test will be based on the topic 'Potential Energy & Conservation of Energy'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
81fe3ef6-f009-45f6-8ad4-986e61077983,e81d77a0-0001-4c12-a167-9bf461d3fa01,11,Day 11 Topic: Center of Mass & Linear Momentum,Today's MCQ test will be based on the topic 'Center of Mass & Linear Momentum'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
441c6689-f521-49a3-a1da-4c99def3f099,e81d77a0-0001-4c12-a167-9bf461d3fa01,12,Day 12 Topic: Torque & Angular Momentum,Today's MCQ test will be based on the topic 'Torque & Angular Momentum'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
e6d35e26-a08d-4cbe-8b33-b82dd64ff524,e81d77a0-0001-4c12-a167-9bf461d3fa01,13,Day 13 Topic: Moment of Inertia,Today's MCQ test will be based on the topic 'Moment of Inertia'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
86ff4d03-f538-4ba1-b0a3-cc2f24477ea4,e81d77a0-0001-4c12-a167-9bf461d3fa01,14,Day 14 Topic: Kepler's Laws of Planetary Motion,Today's MCQ test will be based on the topic 'Kepler's Laws of Planetary Motion'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
4022ab6d-7be4-4271-8c25-529fdc6734a0,e81d77a0-0001-4c12-a167-9bf461d3fa01,15,Day 15 Topic: Newton's Law of Gravitation & Acceleration due to gravity,Today's MCQ test will be based on the topic 'Newton's Law of Gravitation & Acceleration due to gravity'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
dd93d0ff-d00e-4449-b72d-42a6af14855e,e81d77a0-0001-4c12-a167-9bf461d3fa01,16,Day 16 Topic: Elasticity & Hooke's Law,Today's MCQ test will be based on the topic 'Elasticity & Hooke's Law'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
ac5ad2f0-ae16-4dcc-9e05-d6d7f39aef17,e81d77a0-0001-4c12-a167-9bf461d3fa01,17,Day 17 Topic: Fluid Mechanics & Bernoulli's Principle,Today's MCQ test will be based on the topic 'Fluid Mechanics & Bernoulli's Principle'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
ab31e787-cb0b-4cb8-accb-6a314677d084,e81d77a0-0001-4c12-a167-9bf461d3fa01,18,Day 18 Topic: Thermal Properties of Matter & Heat Transfer,Today's MCQ test will be based on the topic 'Thermal Properties of Matter & Heat Transfer'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
e1f1c9ef-3486-4a9f-a94d-dc205998f53f,e81d77a0-0001-4c12-a167-9bf461d3fa01,19,Day 19 Topic: Thermodynamics (First & Second Laws),Today's MCQ test will be based on the topic 'Thermodynamics (First & Second Laws)'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
7a0e043a-f5d6-4f70-9171-30633a2f5879,e81d77a0-0001-4c12-a167-9bf461d3fa01,20,Day 20 Topic: Simple Harmonic Motion & Waves,Today's MCQ test will be based on the topic 'Simple Harmonic Motion & Waves'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
4a309f69-84e9-4ccf-9c36-52f281041b3e,e81d77a0-0002-4c12-a167-9bf461d3fa02,1,Day 1 Topic: Electric Charges & Coulomb's Law,Today's MCQ test will be based on the topic 'Electric Charges & Coulomb's Law'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
9203a2e8-a122-4cf6-824a-ee5b4251e98c,e81d77a0-0002-4c12-a167-9bf461d3fa02,2,Day 2 Topic: Electric Fields & Electric Dipoles,Today's MCQ test will be based on the topic 'Electric Fields & Electric Dipoles'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
8da5c3ce-9be2-469e-b098-b7e9a7a149d2,e81d77a0-0002-4c12-a167-9bf461d3fa02,3,Day 3 Topic: Gauss's Law & Applications,Today's MCQ test will be based on the topic 'Gauss's Law & Applications'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
7a5c0572-0b06-4a8d-9674-376790daefb7,e81d77a0-0002-4c12-a167-9bf461d3fa02,4,Day 4 Topic: Electrostatic Potential,Today's MCQ test will be based on the topic 'Electrostatic Potential'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
1759560d-e644-4153-b14e-4c428f2980dd,e81d77a0-0002-4c12-a167-9bf461d3fa02,5,Day 5 Topic: Capacitance & Dielectrics,Today's MCQ test will be based on the topic 'Capacitance & Dielectrics'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
11eda654-d567-4319-b9ba-47bccf412294,e81d77a0-0002-4c12-a167-9bf461d3fa02,6,Day 6 Topic: Electric Current & Ohm's Law,Today's MCQ test will be based on the topic 'Electric Current & Ohm's Law'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
19e939ea-204f-40a9-9723-cdae0b553311,e81d77a0-0002-4c12-a167-9bf461d3fa02,7,Day 7 Topic: Drift Velocity & Resistivity,Today's MCQ test will be based on the topic 'Drift Velocity & Resistivity'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
d05e50fb-e76e-44d0-bda0-daa57e5326af,e81d77a0-0002-4c12-a167-9bf461d3fa02,8,Day 8 Topic: Kirchhoff's Rules & Wheatstone Bridge,Today's MCQ test will be based on the topic 'Kirchhoff's Rules & Wheatstone Bridge'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
099cd12f-c03e-4131-a1c2-8fb5505b7f1e,e81d77a0-0002-4c12-a167-9bf461d3fa02,9,Day 9 Topic: Biot-Savart Law & Ampere's Law,Today's MCQ test will be based on the topic 'Biot-Savart Law & Ampere's Law'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
6cd87001-5d97-49e3-a786-36bd97e6918e,e81d77a0-0002-4c12-a167-9bf461d3fa02,10,Day 10 Topic: Magnetic Force on Charges & Currents,Today's MCQ test will be based on the topic 'Magnetic Force on Charges & Currents'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
732d1f56-de35-4a5e-88ea-0a4dd797e2bf,e81d77a0-0002-4c12-a167-9bf461d3fa02,11,Day 11 Topic: Magnetic Properties of Matter,Today's MCQ test will be based on the topic 'Magnetic Properties of Matter'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
67ffd31e-3bd0-41e1-b7dd-1a65a5595896,e81d77a0-0002-4c12-a167-9bf461d3fa02,12,Day 12 Topic: Electromagnetic Induction & Faraday's Law,Today's MCQ test will be based on the topic 'Electromagnetic Induction & Faraday's Law'. Please study this topic in detail from your NCERT book and classroom notes.,read,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
